project,country,region,status,deposit_type,reserve_resource,grade,current_kta_lce,planned_kta_lce,cost,address,lat,lon,route,port_lat,port_lon,risks,source_note,map_capacity_kta
Thacker Pass,USA,Nevada,Construction / phased build,Clay / sedimentary lithium,"Measured & indicated resources 44.5 Mt LCE @ 2,230 ppm Li; reserves 14.3 Mt LCE @ 2,540 ppm Li","2,230 ppm Li resource; 2,540 ppm Li reserve",0.0,160.0,"Average operating cost ~US$6,238/t LCE in base case; higher in full 85-year scenario","Humboldt County, Nevada",41.71,-118.06,Primarily domestic U.S. supply chain; optional rail/truck to West Coast logistics,37.8,-122.27,Sulfuric acid integration; water and permitting scrutiny; capex; phased build sequencing; clay processing learning curve,Lithium Americas technical report 2025,160.0
Rhyolite Ridge,USA,Nevada,Permitted / financing-backed development,Lithium-boron sedimentary deposit,"Ore reserve ~246.6 Mt @ 1,464 ppm Li containing ~1.92 Mt LCE (2025 update)","~1,464 ppm Li reserve",0.0,22.0,Marketed as low-cost integrated lithium-boron project; exact updated cash cost not in current snippet,"Esmeralda County, Nevada",38.06,-117.89,Primarily domestic U.S. supply chain; optional trucking to West Coast export logistics,37.8,-122.27,Final construction execution; boric acid co-product market; environmental commitments; commissioning,Ioneer DFS / reserve update 2025,22.0
Silver Peak,USA,Nevada,Operating / expansion-permitted,Brine salar,M+I resources 17.1 kt Li @ 160 mg/L; inferred 102 kt Li @ 130 mg/L (exclusive of reserves) in Albemarle TRS,~130-160 mg/L lithium,6.0,10.0,High-cost mature brine asset vs South American peers,"Silver Peak, Clayton Valley, Nevada",37.77,-117.63,Primarily domestic supply; optional West Coast logistics,34.05,-118.25,Low grade; evaporation climate; small scale; expansion economics vs imports,Albemarle Silver Peak TRS 2025; U.S. permitting dashboard 2026,10.0
Jadar,Serbia,Loznica,On hold / politically constrained,Jadarite lithium-borate,Public project materials cite ~136 Mt high-grade orebody,Unique jadarite ore; high-grade by European standards,0.0,58.0,"Could be globally competitive if permitted, but social/political risk dominates project economics","Near Loznica, western Serbia",44.67,19.24,Road/rail to Bar port or Danube-European industrial corridor,42.09,19.1,Community opposition; Serbian politics; court and permit uncertainty; Rio portfolio prioritization,Rio Jadar site 2026; market reporting 2025,58.0
Cinovec,Czech Republic,Usti nad Labem,DFS-stage development,Zinnwaldite / hard-rock mica,Resource 747.5 Mt @ 0.40% Li2O (7.45 Mt LCE); reserve 54.4 Mt @ 0.58% Li2O,0.40% Li2O resource; 0.58% Li2O reserve,0.0,37.5,Mica route carries process complexity but strong strategic premium inside EU battery corridor,"Cinovec / Krupka district, Czech Republic",50.73,13.76,Rail/road into German-Czech chemical corridor and Hamburg/European ports,53.55,9.99,Metallurgy and conversion scale-up; EU permitting; project financing; hydroxide/carbonate route optimization,Cinovec DFS 2025,37.5
Keliber,Finland,Central Ostrobothnia,Construction,Hard-rock pegmatite,Reserves 7.46 Mt @ 1.04% Li2O,1.04% Li2O,0.0,13.0,European integrated refinery model; likely above global low-cost brines but strategically valuable,"Kaustinen / Kokkola, Finland",63.69,23.88,66-70 km to Kokkola refinery and Baltic export,63.84,23.13,Construction and startup; European energy cost; small reserve base vs megaproject peers,Keliber / Sibanye materials 2025,13.0
Barroso,Portugal,Boticas,Development,Hard-rock pegmatite,Resources 39 Mt @ 1.05% Li2O (2025 update),1.05% Li2O resource,0.0,28.2,Mine-and-concentrator project; likely mid-to-high cost vs Australian peers but strategic EU supply,"Boticas, northern Portugal",41.65,-7.95,Road to Leixões/Porto and Atlantic deep-water ports (<300 km),41.19,-8.7,Community opposition; permitting; EU financing; single-jurisdiction execution,Savannah Resources 2025,28.2
Sonora,Mexico,Sonora,Stalled / concession risk,Clay / sedimentary lithium,Public project materials cite reserve base of 243.8 Mt; two-stage 20 kt then 50 kt lithium hydroxide plan,Clay-hosted lithium; project-grade data in older DFS materials,0.0,50.0,Clay route highly sensitive to reagent/energy costs; political risk currently dominant,"Bacadéhuachi municipality, Sonora",29.56,-109.95,Road to Guaymas and Pacific export / North American delivery,27.92,-110.9,Mexican nationalisation and concession uncertainty; clay metallurgy; financing and partner alignment,Bacanora/Cadence project overview 2025; Wood Mackenzie summary,50.0
Yichun lepidolite cluster,China,Jiangxi,Operating / policy-sensitive cluster,Hard-rock mica / lepidolite,Project-level reserve disclosure fragmented; 8 Yichun operations together ~180 ktpa LCE capacity in 2025 policy reviews,Mica ore grades vary widely; project-by-project verification ongoing,180.0,180.0,Generally high-cost and highly price-sensitive compared with global tier-1 spodumene/brines,"Yichun, Jiangxi Province",27.8,114.39,Truck/rail to eastern China converters and ports (representative: Shanghai),31.23,121.49,"Reserve verification; environmental enforcement; licence renewals; acid/reagent costs. 宁德时代枧下窝矿 2025-08 采矿证到期停产，2026-06 重获用地预审、2026-06-29 获安全生产许可、拟四季度复产（2026 增量预计仅 2-4 万吨）；2026-07 省级生态环境组进驻宜春核查云母尾矿，多数中小选厂或阶段性降负荷","Project Blue / SMM / policy reporting; 宜春时代证照 2026-06/07; 宜春环保核查 2026-07",180.0
Sichuan Jiajika cluster,China,Sichuan,Operating / expanding cluster,Hard-rock pegmatite (spodumene),Jiajika No.134 vein around 1.42% Li2O; cluster concentrate capacity ~524.5 ktpa across Jiajika/Yelonggou/Lijiagou/Dangba,~1.42% Li2O for key vein; cluster grades vary,77.8,90.0,Mid-cost hard-rock supply; hydropower and altitude logistics both matter,"Kangding / Ganzi, Sichuan",30.8,101.65,Truck to Chengdu and onward domestic conversion / export nodes,30.67,104.06,Seasonal weather; power availability; provincial permitting; concentration plant expansions,Mysteel Sichuan tracking 2025; Kallanish/Youngy reporting,90.0
Qinghai Qaidam brine cluster,China,Qinghai,Operating / expanding cluster,Brine salar cluster,Qarhan/Taijinar/Yiliping form China's core brine reserve base; project-level reserve reporting fragmented,Lithium-rich sub-areas commonly >80 ppm; quality varies materially by lake,60.0,100.0,Among China's lowest-cost domestic lithium routes,"Qaidam Basin, Qinghai",36.8,95.2,Rail/road to inland refiners and east-coast ports,36.06,120.38,Resource quality dispersion; evaporation/weather; state-sector capex timing; water chemistry management,Mysteel carbonate capacity 2025; geological literature on Qarhan/Qaidam,100.0
Zhabuye,China,Tibet,Operating / expanding,Brine salar,One of China's flagship high-grade brine deposits; project-level reserve data not consistently public in recent crawl,High-grade Tibetan brine relative to domestic peers,12.0,24.0,Low extraction cost offset by extreme-altitude logistics and capex,"Zhabuye Salt Lake, Tibet",31.46,84.99,Road to Tibet/Xizang transport network then inland conversion hubs,29.65,91.17,Altitude logistics; power and weather; environmental approvals; route reliability,Chinese sector reporting / company materials,24.0
Uyuni cluster,Bolivia,Potosi,Resource giant / commercial scale still limited,Brine salar,Bolivia national lithium resources estimated at 23 Mt Li by USGS; Uyuni is dominant share,"Resource giant, but effective recoverable grade and Mg/Li challenges matter more than headline tonnage",0.0,25.0,Commercial cost not yet proven at scale; process risk dominates,"Salar de Uyuni, Potosi",-20.13,-67.49,Road/rail to Pacific export corridors via Chile/Peru options,-23.65,-70.4,Mg/Li ratio; political cycles; technology selection (DLE vs ponds); infrastructure and financing,USGS 2026 country resources,25.0
Coipasa / Pastos Grandes (Bolivia cluster),Bolivia,Oruro/Potosi,Early-stage / pilot to development,Brine salar cluster,Part of Bolivia's large national resource base; project-level reserves not yet investment-grade across cluster,Variable brine chemistry,0.0,20.0,Unproven; likely process-intensive,"Coipasa and related salars, western Bolivia",-19.26,-68.17,Road to Pacific corridors via Chile,-23.65,-70.4,Same as Uyuni plus earlier-stage data risk and financing uncertainty,USGS 2026 country resources,20.0
